Phenotype	Category	Ancestry	p-value	Odds ratio	Model	No. cases	No. AA cases	No. AB cases	No. BB cases	Case AAF	Proportion AB or BB cases	Proportion BB cases	No. controls	No. AA controls	No. AB controls	No. BB controls	Control AAF	Proportion AB or BB controls	Proportion BB controls	Odds ratio LCI	Odds ratio UCI
41202#K40#Inguinal hernia	Chapter XI Diseases of the digestive system	European	1.30E-03	1.0392	allelic	23963	14132	8580	1251	0.2312	0.41025748	0.052205483	120030	72342	41490	6198	0.2245	0.397300675	0.051637091	1.0153	1.0637
Union#C343#Malignant neoplasm: Lower lobe bronchus or lung	Chapter II Neoplasms	European	1.30E-03	0.8788	allelic	1882	1190	614	78	0.2046	0.367693943	0.041445271	257691	154454	89793	13444	0.2264	0.400623227	0.052171011	0.8117	0.9515
Union#E07#Other disorders of thyroid	Chapter IV Endocrine nutritional and metabolic diseases	European	1.30E-03	1.036	allelic	27586	16355	9777	1454	0.2299	0.407126803	0.052707895	166033	100277	57224	8532	0.2237	0.396041751	0.051387375	1.014	1.0585
Union#L82#Seborrhoeic keratosis	Chapter XII Diseases of the skin and subcutaneous tissue	European	1.30E-03	0.9673	allelic	30446	18599	10324	1523	0.2196	0.389115155	0.050022992	258904	155584	89965	13355	0.2253	0.399066836	0.051582826	0.9479	0.9871
Union#M85#Other disorders of bone density and structure	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.30E-03	1.0407	allelic	22801	13550	8063	1188	0.2289	0.405727819	0.052102978	98033	59417	33715	4901	0.222	0.393908174	0.04999337	1.0157	1.0663
20002#1458#diverticular disease|diverticulitis	Chapter XI Diseases of the digestive system	European	1.40E-03	0.9255	allelic	5142	3179	1741	222	0.2125	0.381758071	0.043173862	314946	189018	109679	16249	0.2257	0.399839973	0.051592971	0.8824	0.9706
40002#Block J80-J84#J80-J84 Other respiratory diseases principally affecting the interstitium	Chapter X Diseases of the respiratory system	European	1.40E-03	0.8003	allelic	660	437	197	26	0.1886	0.337878788	0.039393939	304172	182900	105600	15672	0.2251	0.398695475	0.05152348	0.6971	0.9188
41202#C34#Malignant neoplasm of bronchus and lung	Chapter II Neoplasms	European	1.40E-03	0.9246	allelic	5014	3104	1688	222	0.2126	0.380933387	0.044276027	289356	173525	100863	14968	0.226	0.400306197	0.051728666	0.8811	0.9703
41202#C50#Malignant neoplasm of breast	Chapter II Neoplasms	European	1.40E-03	0.9564	allelic	16506	10092	5611	803	0.2186	0.388585969	0.048648976	172613	103403	60288	8922	0.2263	0.400954737	0.05168788	0.9307	0.9829
41202#M255#Pain in joint	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.40E-03	1.054	allelic	10832	6389	3849	594	0.2325	0.41017356	0.054837518	285847	172734	98591	14522	0.2233	0.395711692	0.050803402	1.0206	1.0884
Union#L71#Rosacea	Chapter XII Diseases of the skin and subcutaneous tissue	European	1.40E-03	0.934	allelic	6621	4109	2198	314	0.2134	0.379398882	0.04742486	239571	144029	83234	12308	0.2251	0.39880453	0.051375166	0.8955	0.9742
Union#M1907#Primary arthrosis of other joints Ankle and foot	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.40E-03	1.2165	allelic	715	386	288	41	0.2587	0.46013986	0.057342657	124644	75386	42933	6325	0.223	0.3951895	0.05074452	1.0803	1.3698
41202#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	Chapter II Neoplasms	European	1.50E-03	0.9288	allelic	5598	3471	1869	258	0.213	0.379957128	0.046087889	273952	164454	95356	14142	0.2257	0.399697757	0.051622182	0.8874	0.9723
Union#H80#Otosclerosis	Chapter VIII Diseases of the ear and mastoid process	European	1.50E-03	0.8383	allelic	1023	668	313	42	0.194	0.347018573	0.041055718	194890	117689	67439	9762	0.2231	0.39612602	0.050089794	0.7511	0.9357
40011#2#(8010-8790) Epithelial	Chapter II Neoplasms	European	1.60E-03	0.9813	allelic	104706	63298	36205	5203	0.2226	0.395469219	0.049691517	350437	210318	121937	18182	0.2259	0.39984077	0.051883791	0.9699	0.9929
Union#B182#Chronic viral hepatitis C	Chapter I Certain infectious and parasitic diseases	European	1.60E-03	0.7531	allelic	405	275	114	16	0.1802	0.320987654	0.039506173	196298	117692	68492	10114	0.226	0.400442185	0.051523704	0.6295	0.901
Union#M189#Arthrosis of first carpometacarpal joint unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.60E-03	1.1178	allelic	2277	1298	855	124	0.2422	0.429951691	0.05445762	110401	66817	38070	5514	0.2224	0.394779033	0.0499452	1.0437	1.197
Union#M25#Other joint disorders not elsewhere classified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.60E-03	1.021	allelic	122064	73003	42824	6237	0.2265	0.401928497	0.051096146	143907	87066	49531	7310	0.2229	0.394984261	0.050796695	1.0079	1.0343
Union#R06#Abnormalities of breathing	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	1.60E-03	1.0442	allelic	20059	11958	7049	1052	0.2282	0.403858617	0.052445286	63502	38708	21568	3226	0.2206	0.390444395	0.05080155	1.0166	1.0726
41202#M189#Arthrosis of first carpometacarpal joint unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.70E-03	1.1314	allelic	1791	1014	672	105	0.2462	0.433835846	0.058626466	225233	135783	77978	11472	0.224	0.397144291	0.050933922	1.0483	1.2212
Union#B54#Unspecified malaria	Chapter I Certain infectious and parasitic diseases	European	1.70E-03	0.8137	allelic	735	480	229	26	0.1912	0.346938776	0.03537415	225782	135744	78446	11592	0.2251	0.398782897	0.05134156	0.7144	0.9269
Union#D07#Carcinoma in situ of other and unspecified genital organs	Chapter II Neoplasms	European	1.70E-03	0.9251	allelic	4965	3061	1694	210	0.2129	0.383484391	0.042296073	180888	108422	63091	9375	0.2262	0.400612534	0.05182765	0.8812	0.9713
Union#D22#Melanocytic naevi	Chapter II Neoplasms	European	1.70E-03	0.9395	allelic	7664	4725	2570	369	0.2158	0.383481211	0.048147182	222046	133032	77413	11601	0.2266	0.400880899	0.052245931	0.9035	0.977
Union#H33#Retinal detachments and breaks	Chapter VII Diseases of the eye and adnexa	European	1.70E-03	1.0647	allelic	7254	4264	2580	410	0.2344	0.41218638	0.05652054	236179	142702	81478	11999	0.2233	0.395788787	0.050804686	1.0239	1.107
Union#R161#Splenomegaly not elsewhere classified	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	1.70E-03	1.1763	allelic	1047	585	402	60	0.2493	0.441260745	0.05730659	48228	29448	16325	2455	0.2202	0.389400348	0.050904039	1.0641	1.3002
Union#Block M80-M85#M80-M85 Disorders of bone density and structure	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.80E-03	1.0369	allelic	26683	15897	9348	1438	0.2291	0.404227411	0.053891991	104933	63449	36226	5258	0.2227	0.395337978	0.050108164	1.0137	1.0607
Union#I841#Internal haemorrhoids with other complications	Chapter IX Diseases of the circulatory system	European	1.80E-03	1.0991	allelic	3080	1767	1128	185	0.2432	0.426298701	0.060064935	149240	89463	52032	7745	0.2262	0.40054275	0.051896274	1.0363	1.1657
4728#Leg pain on walking	Chapter IX Diseases of the circulatory system	European	1.90E-03	1.0333	allelic	32875	19481	11671	1723	0.2299	0.407422053	0.052410646	116241	70007	40354	5880	0.2242	0.397742621	0.050584561	1.0122	1.0548
Union#K409#Unilateral or unspecified inguinal hernia without obstruction or gangrene	Chapter XI Diseases of the digestive system	European	1.90E-03	1.0398	allelic	23223	13662	8335	1226	0.2322	0.411703914	0.05279249	78802	47412	27261	4129	0.2254	0.398340144	0.052397147	1.0145	1.0656
130709#Source of report of E11 (Type 2 diabetes mellitus)	Chapter IV Endocrine nutritional and metabolic diseases	European	2.00E-03	1.0283	allelic	39350	23398	13880	2072	0.229	0.405387548	0.052655654	308541	186021	106733	15787	0.2241	0.397094714	0.05116662	1.0103	1.0466
40011#8090#Basal cell carcinoma| NOS	Chapter II Neoplasms	European	2.00E-03	1.0316	allelic	30317	17949	10772	1596	0.2303	0.407955932	0.052643731	373608	224786	129642	19180	0.2248	0.398337295	0.05133723	1.0115	1.0521
Union#R600#Localized oedema	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	2.00E-03	1.0766	allelic	5421	3186	1949	286	0.2325	0.412285556	0.052757794	61379	37521	20757	3101	0.2196	0.388699718	0.050522166	1.0276	1.1279
130265#Source of report of B54 (Unspecified malaria)	Chapter I Certain infectious and parasitic diseases	European	2.10E-03	0.8173	allelic	733	478	229	26	0.1917	0.347885402	0.035470668	355301	213749	123297	18255	0.2249	0.39840023	0.051378972	0.7175	0.9309
Union#M255#Pain in joint	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.10E-03	1.042	allelic	18030	10685	6405	940	0.2298	0.407376595	0.05213533	140949	85281	48600	7068	0.2225	0.394951365	0.050145797	1.0152	1.0696
Union#R798#Other specified abnormal findings of blood chemistry	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	2.10E-03	1.0499	allelic	15526	9259	5474	793	0.2274	0.403645498	0.051075615	44947	27522	15170	2255	0.2189	0.387678822	0.0501702	1.0179	1.0828
120017#Ever had pelvic pain	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	2.20E-03	1.0539	allelic	10497	6191	3735	571	0.2323	0.410212442	0.054396494	113116	68287	39192	5637	0.2231	0.396309983	0.049833799	1.0192	1.0898
131613#Source of report of K40 (Inguinal hernia)	Chapter XI Diseases of the digestive system	European	2.20E-03	1.0322	allelic	30855	18280	10977	1598	0.2297	0.40755145	0.051790634	198701	119816	68707	10178	0.2241	0.397003538	0.051222691	1.0116	1.0532
Union#Chapter VIII#Chapter VIII Diseases of the ear and mastoid process	Chapter VIII Diseases of the ear and mastoid process	European	2.20E-03	1.0352	allelic	25648	15292	8970	1386	0.2289	0.403774173	0.054039301	171898	103841	59497	8560	0.2229	0.395915019	0.049796973	1.0126	1.0584
Union#I051#Rheumatic mitral insufficiency	Chapter IX Diseases of the circulatory system	European	2.20E-03	0.5886	allelic	123	89	32	2	0.1463	0.276422764	0.016260163	192587	115590	67111	9886	0.2256	0.399803725	0.051332644	0.4132	0.8382
131253#Source of report of H81 (Disorders of vestibular function)	Chapter VIII Diseases of the ear and mastoid process	European	2.30E-03	1.0477	allelic	12441	7305	4475	661	0.233	0.412828551	0.053130777	358052	215429	124292	18331	0.2248	0.39833041	0.051196474	1.0168	1.0795
2227#Other eye problems	Chapter VII Diseases of the eye and adnexa	European	2.30E-03	1.0219	allelic	65904	39273	23156	3475	0.2284	0.404087764	0.052728211	387916	233493	134583	19840	0.2246	0.398083606	0.051145093	1.0078	1.0362
2453#Cancer diagnosed by doctor	Chapter II Neoplasms	European	2.30E-03	0.9716	allelic	35862	21768	12362	1732	0.2207	0.393006525	0.048296247	353394	212166	122976	18252	0.2256	0.399633271	0.051647736	0.9538	0.9898
Union#I272#Other secondary pulmonary hypertension	Chapter IX Diseases of the circulatory system	European	2.30E-03	1.1173	allelic	2124	1217	774	133	0.2448	0.427024482	0.062617702	144107	86662	50069	7376	0.2249	0.398627409	0.05118419	1.0412	1.1988
Union#K210#Gastro-oesophageal reflux disease with oesophagitis	Chapter XI Diseases of the digestive system	European	2.30E-03	0.9608	allelic	19098	11635	6546	917	0.2194	0.390773903	0.048015499	146632	87953	50985	7694	0.2263	0.400178679	0.052471493	0.9364	0.9858
Union#Z835#Family history of eye and ear disorders	Chapter XXI Factors influencing health status and contact with health services	European	2.30E-03	1.0877	allelic	3794	2210	1361	223	0.2381	0.417501318	0.058777016	132069	79784	45607	6678	0.2232	0.395891542	0.050564478	1.0309	1.1476
131167#Source of report of H26 (Other cataract)	Chapter VII Diseases of the eye and adnexa	European	2.40E-03	1.0251	allelic	48177	28593	17111	2473	0.2289	0.406501027	0.051331548	380050	228824	131755	19471	0.2246	0.397910801	0.051232733	1.0089	1.0416
20002#1134#oesophageal disorder	Chapter XI Diseases of the digestive system	European	2.40E-03	0.9696	allelic	30214	18358	10399	1457	0.2203	0.392400874	0.048222678	380529	228448	132421	19660	0.2257	0.399656794	0.051664919	0.9504	0.9892
20002#1436#headaches (not migraine)	Chapter VI Diseases of the nervous system	European	2.40E-03	1.0856	allelic	3846	2221	1407	218	0.2396	0.422516901	0.056682267	361167	217113	125609	18445	0.225	0.398857038	0.051070557	1.0299	1.1442
41202#H809#Otosclerosis unspecified	Chapter VIII Diseases of the ear and mastoid process	European	2.40E-03	0.7334	allelic	319	217	92	10	0.1755	0.319749216	0.031347962	394268	237031	137045	20192	0.225	0.39880741	0.051213895	0.598	0.8994
Union#M1997#Arthrosis unspecified Ankle and foot	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.40E-03	1.0751	allelic	5138	2997	1860	281	0.2357	0.416699105	0.054690541	126109	76261	43475	6373	0.2229	0.395277102	0.050535648	1.0262	1.1262
20002#1077#heart arrhythmia	Chapter IX Diseases of the circulatory system	European	2.50E-03	1.0634	allelic	7000	4102	2496	402	0.2357	0.414	0.057428571	220657	132833	76430	11394	0.2248	0.398011393	0.051636703	1.022	1.1064
41202#Block I60-I69#I60-I69 Cerebrovascular diseases	Chapter IX Diseases of the circulatory system	European	2.50E-03	1.0449	allelic	14145	8351	5037	757	0.2316	0.409614705	0.053517144	251415	151713	86850	12852	0.2238	0.396563451	0.051118668	1.0156	1.075
41202#L600#Ingrowing nail	Chapter XII Diseases of the skin and subcutaneous tissue	European	2.50E-03	1.1693	allelic	1023	568	392	63	0.2532	0.444770283	0.061583578	357337	214998	124053	18286	0.2248	0.398332666	0.051172982	1.0583	1.2921
Union#N201#Calculus of ureter	Chapter XIV Diseases of the genitourinary system	European	2.50E-03	1.0851	allelic	3920	2265	1439	216	0.2386	0.422193878	0.055102041	167418	100945	57900	8573	0.2241	0.397048107	0.051207158	1.0295	1.1437
Union#H742#Discontinuity and dislocation of ear ossicles	Chapter VIII Diseases of the ear and mastoid process	European	2.60E-03	2.0615	allelic	39	16	17	6	0.3718	0.58974359	0.153846154	210524	127167	72798	10559	0.2231	0.395950105	0.050155802	1.3024	3.2632
Union#M210#Valgus deformity not elsewhere classified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.60E-03	1.187	allelic	837	464	322	51	0.2533	0.445639188	0.0609319	118961	72042	40958	5961	0.2223	0.39440657	0.050108859	1.0627	1.3257
131793#Source of report of L71 (Rosacea)	Chapter XII Diseases of the skin and subcutaneous tissue	European	2.70E-03	0.9347	allelic	5963	3698	1981	284	0.2137	0.379842361	0.047627033	397202	238605	138219	20378	0.2253	0.399285502	0.051303871	0.8944	0.9769
20002#1382#sjogren's syndrome|sicca syndrome	Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	European	2.70E-03	0.769	allelic	425	285	125	15	0.1824	0.329411765	0.035294118	205387	123505	71416	10466	0.2248	0.398671776	0.050957461	0.646	0.9154
41202#D30#Benign neoplasm of urinary organs	Chapter II Neoplasms	European	2.70E-03	1.3073	allelic	326	172	128	26	0.2761	0.472392638	0.079754601	220112	132153	76503	11456	0.2258	0.399610198	0.052046231	1.1009	1.5525
41202#M471#Other spondylosis with myelopathy	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.70E-03	1.3494	allelic	261	135	106	20	0.2797	0.482758621	0.076628352	272014	164298	93868	13848	0.2235	0.395994324	0.050909144	1.1145	1.6338
40011#8310#Clear cell adenocarcinoma	Chapter II Neoplasms	European	2.80E-03	1.1606	allelic	1103	620	410	73	0.252	0.437896646	0.066183137	382387	229976	132734	19677	0.225	0.398577881	0.051458339	1.054	1.2778
Union#D051#Intraductal carcinoma in situ	Chapter II Neoplasms	European	2.80E-03	0.9174	allelic	3647	2278	1191	178	0.2121	0.375377022	0.048807239	143445	85803	50200	7442	0.2269	0.401840427	0.051880512	0.8667	0.971
Union#F028#Dementia in other specified diseases classified elsewhere	Chapter V Mental and behavioural disorders	European	2.80E-03	0.7774	allelic	465	312	135	18	0.1839	0.329032258	0.038709677	187749	113011	65106	9632	0.2247	0.398074024	0.051302537	0.6584	0.9179
Union#I63#Cerebral infarction	Chapter IX Diseases of the circulatory system	European	2.80E-03	1.0504	allelic	11390	6685	4067	638	0.2345	0.413081651	0.056014047	126131	75708	43875	6548	0.2258	0.399766909	0.05191428	1.0173	1.0846
Union#M205#Other deformities of toe(s) (acquired)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.80E-03	1.1005	allelic	2779	1591	1042	146	0.24	0.427491904	0.052536884	99093	59884	34227	4982	0.223	0.395678807	0.050276003	1.0339	1.1715
Union#M819#Osteoporosis unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.80E-03	1.0414	allelic	18372	10922	6455	995	0.2298	0.405508382	0.054158502	97840	59213	33670	4957	0.2227	0.394797629	0.05066435	1.0141	1.0694
Union#R104#Other and unspecified abdominal pain	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	2.80E-03	1.0353	allelic	29009	17374	10132	1503	0.2264	0.401082423	0.051811507	81493	49651	27756	4086	0.2204	0.390732946	0.050139276	1.012	1.059
40002#K56#Paralytic ileus and intestinal obstruction without hernia	Chapter XI Diseases of the digestive system	European	2.90E-03	0.7207	allelic	283	193	82	8	0.1731	0.318021201	0.028268551	454915	273438	158107	23370	0.2251	0.398925074	0.051372234	0.5796	0.896
41202#K602#Anal fissure unspecified	Chapter XI Diseases of the digestive system	European	3.00E-03	1.1336	allelic	1540	877	562	101	0.2481	0.430519481	0.065584416	205145	123262	71285	10598	0.2254	0.399146945	0.05166102	1.0443	1.2306
42007#Source of stroke report	Chapter IX Diseases of the circulatory system	European	3.00E-03	1.0404	allelic	16633	9821	5905	907	0.232	0.409547286	0.054530151	346777	208486	120498	17793	0.225	0.398789424	0.051309631	1.0137	1.0679
Union#L03#Cellulitis	Chapter XII Diseases of the skin and subcutaneous tissue	European	3.00E-03	1.0304	allelic	31688	18833	11122	1733	0.2302	0.405674072	0.054689472	240631	144794	83427	12410	0.2249	0.398273705	0.05157274	1.0103	1.0509
131965#Source of report of M81 (Osteoporosis without pathological fracture)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.10E-03	1.0336	allelic	24775	14701	8728	1346	0.2305	0.406619576	0.054328961	271018	163070	94118	13830	0.2247	0.398305648	0.051029821	1.0112	1.0564
Union#G252#Other specified forms of tremor	Chapter VI Diseases of the nervous system	European	3.10E-03	0.594	allelic	119	87	29	3	0.1471	0.268907563	0.025210084	298201	179282	103663	15256	0.225	0.398788066	0.051160124	0.4149	0.8503
Union#I846#Residual haemorrhoidal skin tags	Chapter IX Diseases of the circulatory system	European	3.10E-03	1.0778	allelic	4459	2592	1601	266	0.2392	0.418703745	0.059654631	181162	108652	63202	9308	0.2258	0.4002495	0.051379428	1.026	1.1322
Union#K26#Duodenal ulcer	Chapter XI Diseases of the digestive system	European	3.20E-03	0.947	allelic	9376	5810	3075	491	0.2164	0.380332765	0.052367747	110583	66432	38381	5770	0.2257	0.399256667	0.052178002	0.9134	0.9819
Union#M2543#Effusion of joint Forearm	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.20E-03	1.5979	allelic	97	48	37	12	0.3144	0.505154639	0.12371134	157309	95128	54197	7984	0.223	0.395279355	0.050753612	1.18	2.1639
20002#3#gynaecology|breast	Chapter XIV Diseases of the genitourinary system	European	3.30E-03	1.0338	allelic	24673	14630	8709	1334	0.2306	0.407044137	0.054067199	224431	134988	78022	11421	0.2247	0.398532288	0.050888692	1.0112	1.0569
41202#H330#Retinal detachment with retinal break	Chapter VII Diseases of the eye and adnexa	European	3.30E-03	1.1	allelic	2663	1533	976	154	0.2411	0.424333459	0.057829516	295885	178371	102426	15088	0.2241	0.397161059	0.050992784	1.0327	1.1716
41202#I841#Internal haemorrhoids with other complications	Chapter IX Diseases of the circulatory system	European	3.30E-03	1.108	allelic	2288	1314	839	135	0.2424	0.425699301	0.059003497	291116	175551	100702	14863	0.224	0.396972341	0.051055249	1.0353	1.1859
41202#M2556#Pain in joint Lower leg	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.30E-03	1.0975	allelic	2791	1611	1020	160	0.2401	0.422787531	0.057327123	320160	193323	110561	16276	0.2235	0.396167541	0.050837081	1.0318	1.1673
Union#D31#Benign neoplasm of eye and adnexa	Chapter II Neoplasms	European	3.30E-03	0.7557	allelic	362	247	99	16	0.1809	0.317679558	0.044198895	239232	143381	83477	12374	0.2262	0.400661283	0.05172385	0.6254	0.9133
Union#R19#Other symptoms and signs involving the digestive system and abdomen	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	3.30E-03	1.033	allelic	33041	19786	11558	1697	0.2263	0.401168246	0.051360431	83092	50589	28341	4162	0.2206	0.391168825	0.050089058	1.0109	1.0556
130019#Source of report of A09 (Other gastroenteritis and colitis of infectious and unspecified origin)	Chapter I Certain infectious and parasitic diseases	European	3.40E-03	1.033	allelic	24325	14385	8674	1266	0.2303	0.408633094	0.052045221	415513	250092	144170	21251	0.2246	0.398112694	0.051144008	1.0108	1.0557
20002#6#renal|urology	Chapter XIV Diseases of the genitourinary system	European	3.40E-03	1.0353	allelic	21753	12875	7734	1144	0.2304	0.408127615	0.052590447	293174	176652	101543	14979	0.2243	0.397449979	0.051092525	1.0116	1.0595
41202#H269#Cataract unspecified	Chapter VII Diseases of the eye and adnexa	European	3.40E-03	1.0305	allelic	29268	17354	10393	1521	0.2295	0.407065737	0.05196802	348626	210114	120672	17840	0.2242	0.39730829	0.051172316	1.0101	1.0514
Union#I849#Unspecified haemorrhoids without complication	Chapter IX Diseases of the circulatory system	European	3.40E-03	1.0419	allelic	15869	9340	5680	849	0.2325	0.411431092	0.053500536	154641	92908	53811	7922	0.2252	0.399202023	0.051228329	1.0138	1.0709
Union#G473#Sleep apnoea	Chapter VI Diseases of the nervous system	European	3.50E-03	1.0522	allelic	9707	5700	3478	529	0.2336	0.41279489	0.054496755	205389	123597	71297	10495	0.2247	0.398229701	0.05109816	1.017	1.0886
Union#L600#Ingrowing nail	Chapter XII Diseases of the skin and subcutaneous tissue	European	3.50E-03	1.1422	allelic	1321	741	502	78	0.2491	0.439061317	0.059046177	231103	138903	80389	11811	0.225	0.39895631	0.051107082	1.0455	1.2478
Union#Q398#Other congenital malformations of oesophagus	Chapter XVII Congenital malformations deformations and chromosomal abnormalities	European	3.60E-03	1.8133	allelic	58	24	28	6	0.3448	0.586206897	0.103448276	440788	265099	153057	22632	0.225	0.398579362	0.05134441	1.2364	2.6592
Union#R44#Other symptoms and signs involving general sensations and perceptions	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	3.60E-03	0.8832	allelic	1767	1129	573	65	0.1989	0.36106395	0.036785512	58245	35626	19674	2945	0.2195	0.388342347	0.05056228	0.8123	0.9604
40001#G301#Alzheimer disease with late onset	Chapter VI Diseases of the nervous system	European	3.70E-03	0.5733	allelic	105	77	26	2	0.1429	0.266666667	0.019047619	454118	272864	157938	23316	0.2252	0.399134146	0.051343483	0.3895	0.8438
40006#D05#Carcinoma in situ of breast	Chapter II Neoplasms	European	3.70E-03	0.9138	allelic	3151	1965	1042	144	0.211	0.376388448	0.045699778	185993	111430	64892	9671	0.2264	0.400891431	0.051996581	0.8597	0.9713
41202#M4712#Other spondylosis with myelopathy Cervical region	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.70E-03	1.4222	allelic	174	89	69	16	0.2902	0.488505747	0.091954023	264295	159721	91110	13464	0.2233	0.395671503	0.050943075	1.1282	1.7929
130841#Source of report of F02 (Dementia in other diseases classified elsewhere)	Chapter V Mental and behavioural disorders	European	3.80E-03	0.8547	allelic	1059	684	329	46	0.1988	0.354107649	0.043437205	318093	191315	110437	16341	0.225	0.398556397	0.051371769	0.7681	0.9511
40002#G20#Parkinson disease	Chapter VI Diseases of the nervous system	European	3.80E-03	0.7861	allelic	472	314	141	17	0.1854	0.334745763	0.036016949	294750	177393	102374	14983	0.2245	0.398157761	0.050832909	0.667	0.9265
Union#Block E10-E14#E10-E14 Diabetes mellitus	Chapter IV Endocrine nutritional and metabolic diseases	European	3.80E-03	1.0276	allelic	39035	23212	13769	2054	0.229	0.405354169	0.052619444	187090	112860	64562	9668	0.2242	0.396760917	0.051675664	1.0089	1.0466
Union#I442#Atrioventricular block complete	Chapter IX Diseases of the circulatory system	European	3.80E-03	1.1121	allelic	2096	1197	774	125	0.2443	0.428912214	0.059637405	108644	65296	37763	5585	0.2252	0.398991201	0.051406428	1.0357	1.1941
Union#J11#Influenza virus not identified	Chapter X Diseases of the respiratory system	European	3.80E-03	1.0513	allelic	9910	5814	3575	521	0.2329	0.413319879	0.052573158	199226	120061	69028	10137	0.2241	0.397362794	0.050881913	1.0164	1.0874
Union#H330#Retinal detachment with retinal break	Chapter VII Diseases of the eye and adnexa	European	3.90E-03	1.0967	allelic	2745	1582	1008	155	0.2401	0.423679417	0.056466302	223626	135018	77193	11415	0.2236	0.396232996	0.051045048	1.0304	1.1672
Union#K602#Anal fissure unspecified	Chapter XI Diseases of the digestive system	European	3.90E-03	1.1044	allelic	2379	1370	859	150	0.2436	0.424127785	0.063051702	135319	81294	46950	7075	0.2258	0.399241792	0.052283863	1.033	1.1807
Union#R79#Other abnormal findings of blood chemistry	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	3.90E-03	1.0455	allelic	16527	9837	5855	835	0.2277	0.404792158	0.050523386	45757	27935	15517	2305	0.2199	0.389492318	0.050374806	1.0145	1.0774
20002#1466#gout	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	4.00E-03	0.939	allelic	6436	3953	2213	270	0.2139	0.385798633	0.041951523	181874	109628	62779	9467	0.2246	0.39723105	0.05205252	0.8996	0.9801
41202#H025#Other disorders affecting eyelid function	Chapter VII Diseases of the eye and adnexa	European	4.00E-03	1.3363	allelic	253	129	107	17	0.2787	0.490118577	0.067193676	323759	195028	112249	16482	0.2243	0.397613657	0.050908237	1.1001	1.623
Union#Z853#Personal history of malignant neoplasm of breast	Chapter XXI Factors influencing health status and contact with health services	European	4.00E-03	0.9559	allelic	13796	8458	4681	657	0.2173	0.386923746	0.047622499	86995	52296	30244	4455	0.225	0.398862004	0.05120984	0.927	0.9858
40006#Chapter II#Chapter II Neoplasms	Chapter II Neoplasms	European	4.10E-03	0.9833	allelic	111780	67554	38636	5590	0.2228	0.395652174	0.050008946	329053	197539	114451	17063	0.2258	0.399674217	0.051854868	0.972	0.9947
41202#G930#Cerebral cysts	Chapter VI Diseases of the nervous system	European	4.20E-03	0.5386	allelic	85	62	23	0	0.1353	0.270588235	0	418033	251314	145244	21475	0.2251	0.398817797	0.051371542	0.3471	0.8359
Union#D06#Carcinoma in situ of cervix uteri	Chapter II Neoplasms	European	4.20E-03	0.9381	allelic	6147	3760	2120	267	0.2159	0.388319505	0.043435822	143496	85835	50205	7456	0.2269	0.401830016	0.051959637	0.8978	0.9801
Union#I839#Varicose veins of lower extremities without ulcer or inflammation	Chapter IX Diseases of the circulatory system	European	4.20E-03	0.9602	allelic	15847	9699	5375	773	0.2184	0.387959866	0.048778949	178307	107039	62163	9105	0.2254	0.399692665	0.051063615	0.9339	0.9873
40006#C43#Malignant melanoma of skin	Chapter II Neoplasms	European	4.30E-03	0.9325	allelic	5032	3109	1693	230	0.2139	0.382154213	0.045707472	340839	204518	118643	17678	0.2259	0.399957165	0.05186613	0.8888	0.9784
